ID,Dish_id,Language,Name,Ingredients of a standard portion for an adult,Recipe,Tip
33,33,en,Porridge with seasonal fruits,"Cow's (or vegetable) milk,200,ml;
Oat flakes,50,g;
Fruit,50,g;","Heat the milk or vegetable milk in a small saucepan over a low heat. When it is hot, add the hazelnut flakes and mix until you have a more or less homogeneous mixture. Wash, peel (optional) and chop the fruit. Half is enough. Serve the hot porridge in a bowl with the fruit pieces on top.",
34,34,en,Baked apple,"Apple,200,g;
Cinnamon,5,g;","Preheat the oven to 180 degrees for ten minutes. Cut off the top of the apple, remove the core, cut open the top, sprinkle with a little cinnamon and cover again. Put the apple in the oven on a baking tray at 180 degrees for about 60 minutes. When cooked, remove and serve, or leave to cool and eat cold or as applesause. ",
35,35,en,Fruit and seed salad,"Apple,60,g;
Banana,60,g;
Mandarin,60,g;
Sesame,10,g;","Wash, peel (optional), chop and mix the fruit. Add the sesame seeds and mix. Serve in a bowl.",
36,36,en,"Turkey, apple and rocket sandwich","Wholemeal bread,60,g;
Sliced turkey,40,g;
Apple,40,g;
Rocket,10,g
Olive oil,10,ml;","Slice the bread crosswise, add a drizzle of olive oil, the turkey and the washed rocket to one half of the bread. Wash the apple and cut into thin slices. Add the apple to the sandwich and serve.",
37,37,en,Whole grain cereal bowl with milk (or vegetable drink),"Milk (or vegetable drink),200,ml;
Whole grain cereals,60,g;","The milk or vegetable drink can be heated or not, according to taste. Add the cereals to the milk and eat.",
38,38,en,Whole wheat toast with peanut butter ,"Whole wheat bread,60,g;
Peanut butter,10,g;",,
39,39,en,Whole wheat fajita with avocado and fresh cheese,"Whole wheat fajitas,80,g;
Avocado,20,g;
Fresh cheese,65g;",,
40,40,en,Whole-bread pancakes with strawberries and chocolate,"Egg,55,g;
Whole wheat flour,60g;
Whole milk,100,ml;
Strawberries,150,g;
Dark chocolate,20,g;","In a blender glass, mix the egg, milk and flour. Beat until you get a light texture. In a non-stick frying pan we put a ladle of the prepared dough and cook the pancakes. Serve with natural cut strawberries and dark chocolate.",
41,41,en,Kefir with apple and walnuts,"Kefir,125,g;
Apple,100,g;
Walnuts,20,g;",,
42,42,en,"Wholemeal toast with olive oil, tomato and natural tuna","Wholemeal bread,60,g;
Natural canned tuna,30,g;
Raw tomato,20,g;
Olive oil,15,ml;",Cut the bread in half and toast. Serve on a plate with olive oil and tuna and sliced tomato on top.,Text…
43,43,en,French omelette,"Egg,110,g;
Salt,2,g;
Aceite de oliva,15,g;","Crack the eggs and mix them with a whisk. Add the salt and mix until getting a homogeneous mixture.Heat a non-stick pan and add the egg mixture, lowering the heat to medium intensity and shaking the pan constantly. Once curdled, roll the omelette on itself.",Text…
44,44,en,Potatoes omelette,"Raw potatoes,75,g;
Raw onion,14,g;
Eggs,55,g;
Salt,1,g; 
Olive oil,12,g;","Wash and peel the potatoes and onion, cut it into slices, and steam or microwave. Mix the potatoes and onion with eggs and salt. Heat a non-stick pan and paint the bottom with a few drops of olive oil. Add the mixture into the pan lowering the heat to medium/low. After 3-4 min.turn the omelette with the help of a plate and put it back in the pan. Let cook 2 more min. Finally, remove from heat and serve. ","
Lightly season, then serve with crusty bread to mop up all of the juices."
45,45,en,Scrambled eggs with prawns and wild asparagus,"Egg,55,g;
Small peeled prawns,35,g;
Wild asparagus,30,g;
Spring garlic,5,g;
Salt,1,g;
Olive oil,10,g;",Boil the asparagus for 2 min. and drain. Beat the eggs with the salt. Heat a non-stick pan and add the oil. Brown the garlic and sauté the prawns for 2-3 min. over medium heat. Add the beaten eggs and lower the heat. Mix continuously until the egg is curdled.,
46,46,en,Soft boiled egg,"Egg,120,g;
wholemeal bread,60,g
olive oil,15,ml;","Bring the water to the boil in a saucepan. Dip the eggs, which should not be too cold or they will crack, into the boiling water. Cook for 3 to 4 minutes, depending on the degree of doneness. Meanwhile, toast the bread. Drain and place in an egg cup before serving, peel and open the top. Cut the bread in strips and add olive oil. Ready to serve. Bread can be sucked into the egg.",Text…
47,47,en,Onion and garlic omelette,"Egg,120,g;
onion,60,g
garlic,10,g
olive oil,10,ml;","In a frying pan, heat the olive oil and when it is hot, fry the onion. When it changes colour, add the garlic. Beat the eggs and add to the frying pan. Form an omelette with a spatula and serve when ready.",Text…
48,48,en,Baked tuna and egg empanada,"Tuna,25,g;
Egg,15,g;
brown rice flour,56,g;
onion,10,g
water,18,ml;
canned corn,20,g;
Tomato,25,g;
pitted black and green olives,10,g;
olive oil,10,ml;
Yeast,3,g;
Oregano,3,g","Mix the dough ingredients (flour, yeast, salt, oil and water). Knead for 10 minutes. Leave the dough to rise in a bowl covered with a cloth for 1 hour, until it has doubled in size. After this time, knead again and divide into two parts. Shape the dough into a patty and put aside. In a frying pan, fry the onion and corn in a little extra virgin olive oil. When poached, add the tuna, drained of oil and water, the chopped olives and the homemade sofrito*. Cook well, then remove from the heat and add the oregano and finely chopped eggs. When the filling has cooled, place it on one of the pies. Sprinkle with a little cheese and cover with the pastry, pressing the edges together to prevent it from falling apart. Bake in the oven at 180ºC until golden brown. Ready to serve. *Chop the tomatoes and onion and place in a covered pan with a little extra virgin olive oil over a medium heat. Cook until the liquid has reduced).",
49,49,en,Scrambled eggs with vegetables,"Egg,90,g;
Green asparagus,40,g;
Broccoli,40,g;
white onion,20,g;
Tomato,30,g;
Concentrated tomato,10g;
Canned peas,30,g;
Ground black pepper,0.3,g;
Cumin,0.5,g;
Water,0.5,ml;
Olive oil,10,g.","Peel and cut the onion into small cubes and cook in a preheated pan with oil. Wash the asparagus and broccoli and cut the edible parts into small pieces. Wash and peel the tomatoes, cut them into cubes. When the onion is cooked, add the asparagus and broccoli. Sauté everything over medium heat for 5 minutes. Add the chopped tomato, concentrated tomato and water. Season with cumin, ground black pepper and salt. Stir integrating all the ingredients. Let cook for 5 more minutes. Add the peas. Stir and make two eggs in the pan where you place the eggs. Lower the intensity of the fire, cover the pan and let cook for 3 minutes. Serve.",
50,50,en,"egg, courgette and onion tart","Egg,120,g;
Milk (or vegetable milk),100,ml;
Courgette,60,g
onion,60,g
olive oil,15,ml;",Wash and chop the onion and courgette. Brown them in a frying pan with a little olive oil. Remove and set aside. Beat the eggs and add a pinch of salt. Mix the eggs with the courgette and onion in a glass dish. Add the milk or vegetable milk. Preheat the oven to 180 degrees for 10 minutes. Bake for about 20 minutes. Take out of the oven and serve.,
51,51,en,Fried eggs with sauteed vegetables,"Eggs,120,g;
Carrot,70,g;
Courgette,70,g;
Red pepper,70,g;
onion,60,g
olive oil,20,ml;","Wash and slice the vegetables. Put them in a pan with olive oil and fry them. Fry the eggs on the other side. When both are cooked, serve on a plate.",
52,52,en,Scrambled eggs with ham,"Eggs,120g;
Potatoes,120g;
Ham,60,g;
Olive oil,15,ml;","Peel and slice the potatoes and rinse well under running water, drain well. Pour the oil into a large frying pan or casserole, add the potatoes and cook over a medium heat, keeping them covered; when you see that they are tender, increase the heat to maximum and cook until they are brown. Take out the potatoes and leave them on a paper towel. Place the potatoes on the plate or dish in which they will be served. Place the ham on top of the potatoes. Fry the eggs and put them in the enzyme. Now you are ready to eat.",
53,53,en,"Risotto with pear, spinach and walnuts","Rice,70,g;
Spinach,100,g;
Onion,20,g;
Pear, 100,g;
Walnuts, 10.g;
Garlic, 2.g;
Parmesan cheese,10 g;
Vegetable broth, 200 g;
Olive oil,10, g;","Wash and drain the spinach. Brown the finely chopped garlic and onion in a pan with a little oil. Add the spinach, cover and let cook. Add the rice and let it toast. Add the peeled and diced pear. Add the broth and mix until completely absorbed and until the rice is cooked to the correct point. Serve the risotto with chopped walnuts, raw extra virgin olive oil and Parmesan cheese.",
54,54,en,Cuba style rice,"Rice,75,g;
Tomato sauce,50,g;
Egg,60,g;
Olive oil,10,g;",Boil the rice in plenty of water and drain. Grill the egg with a little oil. Serve and add tomato sauce.,
55,55,en,Shrimp rice noodles,"Rice noodle, 80,g;
Red pepper, 50,g;
Green pepper, 50,g;
Broccoli, 50,g;
Prawns, 40,g;
Olive oil, 10,g;",Boil the noodles according to the manufacturer's instructions and then drain. Clean and chop the peppers and broccoli into thin strips. Clean the prawns. Heat a frying pan and sauté the prawns with the vegetables and olive oil. Mix the noodles with the vegetables and shrimp.,
56,56,en,Chicken rice salad,"Rice, 80,g;
Chicken breast,50,g;
Asparagus, cooked, 25,g;
tomato,25,g
Cooked corn,15,g
olive oil,15,ml;
vinegar,5,ml;
ground cumin,3,g","Soak the rice for a few minutes. Cook according to the manufacturer's instructions (about 12 minutes). Drain in a sieve. To make the dressing, mix the oil and vinegar in a bowl and add a pinch of ground cumin. Mix well to emulsify and set aside. Chop the green asparagus and drain the cooked corn. Cut the tomatoes into small pieces and prepare the roast chicken by cutting the breast into small pieces. Mix the ingredients so that they are well distributed and season to taste. Ready to serve.",
57,57,en,Stuffed tomatoes with brown rice and tuna,"Brown rice,30,g;
Tomato,100,g;
Carrot,15,g;
Canned tuna,50,g;
Spreadable white cheese,20,g;
Olive,2,g;
Ground black pepper,0.2,g;","Cut the extreme part of the tomatoes around the stem. Empty them with a spoon and leave them upside down so that all the water and seeds drain out. Wash, peel and grate the carrot. In a large bowl, mix the well-drained tuna, the rice, the white spreadable cheese, the grated carrot and season to taste. Fill the tomatoes, decorate them with half an olive. Take to the fridge before serving. Serve.",
58,58,en,Soupy rice with vegetables,"Vegetable stock,320,ml;
Bomba rice,80,g;
green pepper,50,g
red pepper,50,g
carrot,50,g
ripe tomato,50,g
green asparagus,30,g;
olive oil,15,g
salt,3,g
Pepper,3,g;","Peel and chop all the vegetables: peppers, asparagus, carrots, garlic and grate the tomatoes. Brown the garlic in a little extra virgin olive oil. Add the peppers, carrots and asparagus. Stir and fry. Add the grated tomato and cook for another 5 minutes. Add the rice and stir. Add the stock and when it starts to boil, reduce the heat to low and simmer for 12-15 minutes. After 15 minutes, leave the rice to stand for 5 minutes. Ready to serve. Optional: You can add a squeeze of lemon juice to 'dress' the rice before serving.",
59,59,en,Mushroom risotto,"Vegetable stock,280,ml;
mixed mushrooms,100,g;
rice,75,g
onion,60,g
Gran Padano cheese,15,g;
white wine,15,ml;
garlic,15,g
olive oil,10,ml;
Pepper,3,g;","Wipe the mushrooms with damp paper. Chop the onion, garlic and mushrooms.  Brown the onion in olive oil in a frying pan. Add the mushrooms and garlic. Add the rice and cook for a few minutes. Pour in the white wine and allow the alcohol to evaporate. Mix well, add a ladle of vegetable stock and start stirring the rice in a continuous motion (in a circle). When you see that the stock is almost gone, add another ladle and stir the rice again. This process will be repeated several times, adding more stock but always making sure that there is never a shortage of liquid. When the rice is cooked to perfection, remove the pan from the heat and add the grated Grana Padano cheese.
Stir with circular movements so that the cheese melts and the rice becomes creamy.  Serve hot at the table.",
60,60,en,Three-delight rice,"Rice,70,g;
Egg,60,g
Peas,35,g;
Carrot,50,g
Small prawns,30,g;
canned corn,30,g;
olive oil,10,ml;
Soy sauce,10,ml","Cut the carrot into small cubes and cook in a saucepan with water and a little salt. Open the tin of peas. Beat the eggs with the salt and make a French omelette in two batches in a very hot frying pan with half a spoonful of olive oil. The omelette should be very thin, like a crêpe. Meanwhile, put the rice in another pan with water to cook. It will be ready in about ten minutes, depending on the type of rice, then drain and set aside. Now prepare the three delicious rice dishes. Place the well-drained rice in the frying pan and season with the appropriate tablespoon of soy sauce. Once well browned, add the rest of the ingredients, frying until they all mix in the pan, and when ready, serve immediately.",
61,61,en,Curry rice,"Vegetable stock,210,ml;
Rice,70,g;
Chickpeas,60,g;
onion,60,g
Carrot,60,g
olive oil,15,ml;
Ginger,10,g
Garlic,10,g
ground curry,8,g;","Wash the rice in a sieve to remove the starch. Wash and chop the carrot and set aside. Peel and chop the onion and garlic. In a large frying pan, fry the onion in two tablespoons of extra virgin olive oil and when it is soft, add the carrot. Cook for a few minutes, then add the garlic, ginger and spices. Meanwhile, heat the vegetable stock in a saucepan and keep it warm. Add the rice to the pan and fry it with the spices for a few minutes until it turns pearly. Add the stock to the pan, stirring gently, and cook for about 10 minutes or until the stock is used up. Serve and eat.",
62,62,en,Rice salad with fresh salmon or tuna and peas,"Salmon or tuna,75,g;
Rice,70,g;
Thin peas,30,g; 
Carrot,40,g;
Pepper,40,g;
Lemon,30,g;
olive oil,10,ml;
ground black pepper,3,g;","Wash, peel and chop the carrot and pepper. Cook the rice in water until al dente (12-15 minutes). Cook the peas (frozen or fresh) and leave to cool. Prepare the vinaigrette*. Mix all the ingredients together with the canned salmon or tuna or, if fresh, grill it first. Ready to serve. *Vinaigrette: Grate and squeeze the lemon, add the olive oil, vinegar, a pinch of salt and pepper and mix well.",
63,63,en,Cous-cous salad,"Cous-cous,70,g;
water,70,g;
Tomato,40,g;
Cucumber,40,g;
lemon,20,g;
Lime,20,g;
olive oil,15,ml;
mint,5,g;","Bring the water to the boil with a little oil and a pinch of salt. When it comes to the boil, add the appropriate number of cups of couscous. Stir with a spoon and leave for at least three or four minutes. Cover. Peel and chop the tomato and cucumber. In a bowl, add the chopped vegetables to the couscous. Add some fresh mint. Sprinkle with lemon juice and a little olive oil. You can also add some chopped olives. Serve with lime slices.",
64,64,en,Macaroni with bolognese sauce,"Macaroon,60,g;
Lean minced meat,25,g;
Carrot,30,g;
White onion,30,g;
Vegetable broth,30,ml;
Crushed tomato,70,g;
Whole milk,10,ml;
Fresh oregano,1,g;
Ground black pepper,0.4,g;
Salt,2,g;
Extra virgin olive oil,10,g. ""","Peel and finely chop the onion and carrot. Preheat a pan with oil. Add the vegetables and cook over medium-low heat for 10 minutes. Stir to prevent it from sticking. Add lean minced meat. Season with salt, oregano and pepper and integrate all the ingredients. Cook the meat for 10 minutes. Add the vegetable broth and raise the heat for 2 or 3 minutes. Add the crushed tomato along with the milk and lower the heat. Let cook for 20 minutes on low heat. Add plenty of water to a pot and place over high heat until it boils. Add the macaroni and salt when the water is boiling. Lower the heat and cook for 7-8 minutes. After this time, drain the macaroni and add them to the sauce pan. Mix the ingredients with the fire already turned off. Serve.",
65,65,en,Green spaghetti,"Spaghetti,60,g;
Spinach,80,g;
Onion,40,g;
Fresh basil,5,g;
Fresh cheese,25,g;
Fresh garlic,0.3,g;
Whole milk,25,ml;
Walnut,7,g;
Extra virgin olive oil,7,g.","Wash the spinach. Add them to a preheated pan with a little water to prevent them from sticking. Season with salt and cook for 3 minutes. Reserve. Peel and finely chop the onion and garlic. In a skillet add oil and cook the onion and garlic for 10 minutes or until golden. Meanwhile, place plenty of water in a pot and place it over high heat until it boils. Add salt and spaghetti. Cook for 8 minutes. Using a hand blender, blend the spinach, basil, fresh cheese, milk, nuts and a little water. Blend until a thick sauce is left. Add the sauce to the pan with the garlic and onion, season with salt and cook over low heat for 5 minutes. When the noodles are ready, reserve part of the cooking water in a separate container, and drain the rest. Add the noodles to the pan with the sauce. If the sauce is not fluid add cooking water. Serve.",
66,66,en,Spaghetti with mushrooms and spinach sauce,"Spaghetti,70,g;
spinach,70,g
Mixed mushrooms,60,g;
Carrot,60,g
Cottage cheese or ricotta,15,g;
raw almonds,10,g;
Olive oil,10,g
Garlic,15,g
Nutmeg,3,g; 
Pepper,3,g","Cook the pasta. Drain and keep the water. Mix the ricotta with less than ¼ of the cooking water (add more water if necessary). Clean and chop the carrots, mushrooms, garlic and spinach and chop the almonds. Heat a non-stick frying pan with a few drops of extra virgin olive oil and sauté the garlic, carrot, almonds and mushrooms over a medium heat. Add the ricotta together with the cooking water and let it boil down. When ready, add the drained pasta to the sautéed vegetables. Season and stir. Ready to serve.",
67,67,en,"Macaroni with peas, ham and mushrooms","Macaroni,70,g;
Peas,35,g;
Ham,85,g;
mushrooms,100,g
Garlic,15,g
olive oil,10,ml;","Peel and chop the garlic. Brown the mushrooms and garlic in a non-stick frying pan. When browned, add the peas and cook a little. When the peas are cooked, add the chopped ham. Cook for a few more minutes, cover and leave to cook for 5 minutes. Cook the spaghetti according to the instructions on the packet. Drain and mix. Ready to serve.",
68,68,en,Pasta with carrot cream and ricotta cheese,"Milk (or vegetable milk),100,ml;
pasta,70,g;
Carrot,60,g;
cottage cheese,40,g;
olive oil,10,ml;
pepper,3,g
Provencal herbs,3,g;","Cook the pasta according to the instructions on the packet. When cooked to your liking, drain and rinse under cold water to stop cooking. Set aside. Slice the carrots and roast in the oven at 220ºC for 20-30 minutes with a drizzle of extra virgin olive oil. Blend the carrots with the vegetable drink or milk and the cottage cheese. Season with salt and pepper. Blend well until smooth and free of lumps. Serve hot on the pasta and garnish with the Provencal herbs. Serve immediately.",
69,69,en,Spaghetti with broccoli and cheese cream,"Spaghetti,70,g;
Broccoli,60,g;
Mix of different cheeses,30,g;
onion,40,g
olive oil,10,ml;
garlic,10,g
Pepper,3,g;","Put a pan of hot water on the stove. When it boils, add the spaghetti and cook according to the instructions on the packet. Drain and rinse under cold water. Keep the cooking water. Wash and grate the broccoli. Set aside. Peel and chop the onion and garlic. Put them in a frying pan with a drop of extra virgin olive oil. Cook until golden brown. Add the cheese mixture. Cook over a medium heat. Stir constantly. When thickened, add salt and pepper to taste. Add the spaghetti and mix well to soak up the cream cheese. Add the broccoli and a ladle of the water from cooking the spaghetti. Mix well again and cook until all the water has evaporated, all the ingredients are well incorporated and the spaghetti is creamy. Ready to serve.",
70,70,en,Spaghetti with pear and goat's cheese,"Spaghetti,70,g;
Pear,60,g;
Goat cheese,30,g;
walnuts,15,g
Olive oil,10,ml;
Oregano,3,g;","Cook the pasta according to instructions. When cooked, rinse with cold water to stop cooking and leave to cool. Chop the walnuts, peel and chop the pear and cheese. Mix everything together and add the olive oil and oregano. Ready to eat.",
71,71,en,Baked macaroni and cheese au gratin,"Macaroni,70,g;
crushed tomato,40,g;
onion,40,g
courgette,40,g
grated cheese,30,g;
Garlic,15,g
olive oil,10,ml;","Cook the macaroni according to instructions. Clean and chop the vegetables separately. In a frying pan, fry the onion with the garlic and add the courgette. Add the chopped tomato and cook over a low heat. When cooked, mix the macaroni with the sauce and pour the mixture into a deep dish. Add the grated cheese and grill for 10-15 minutes at 180 degrees. Remove and serve.",
72,72,en,Vegetable soup with noodles,"Vegetable stock,300,ml;
Carrot,50,g;
Chickpeas,35,g
noodles,35,g
Olive oil;5,ml;",Wash and chop the carrot. Cook it in the broth. Add the cooked pasta and peas. Serve and eat.,
73,73,en,Cod brandade,"Cod,155,g;
Milk,15,ml;
olive oil,15,ml;
Garlic,5,g;","Pour the oil and the peeled and filleted garlic cloves into a frying pan. Heat without burning the garlic. Add the cod to the pan and cook on a low heat for two or three minutes, then cover and leave to cook until all the gelatine has dissolved. Strain the cod and garlic, keeping the oil. Place the cod (desalted and boned) in a bowl with the milk and stir with a whisk to break up the cod. Add the reserved oil and whisk to emulsify until you have a smooth cream. Ready to serve.",
74,74,en,Rabbit stewed with garlic,"Rabbit,200,g;
garlic,30,g
white wine,10,ml;
olive oil,10,ml;
apple cider vinegar,5,ml;
thyme,3,g
bird's eye chillies,1,g;","The first thing to do is season the rabbit with salt and pepper so that it gets the flavour. Peel and crush the garlic. Heat the olive oil in a saucepan over a medium heat. Add the garlic and chilli pepper and fry them a little at a time, taking care not to burn them; when the garlic is golden brown, remove it and put it and the chilli pepper to one side. Turn up the heat a little and add the rabbit to the casserole, browning it by turning the pieces. The rabbit should be well browned, but it is important to do this over a medium heat so that the meat does not dry out and shrink too much. When it is evenly browned, add the garlic and chilli. Add a few sprigs of thyme, a glass of white wine and a few spoonfuls of cider vinegar. Allow the alcohol to evaporate a little, reduce the heat to low and cover. Leave to cook for 20 to 30 minutes. When cooked, remove from the heat and serve.",
75,75,en,Galician style octopus,"Octopus,120,g;
Potato,180,g;
Sweet paprika,0.7,g;
Salt,2,g;
Drinking water,80,ml;
Extra virgin olive oil,10,g;","Clean the octopus with cold water. In a large pot with plenty of water and place over high heat until it boils. Add the octopus. Put the octopus in and out of the pot 3 times, to prevent the skin from coming out during cooking. Cook for 30-40 minutes over medium heat, until tender. Wash, peel and cut the potatoes into slices. Reserve. Take the octopus out of the water once it is cooked, and use that pot with the water to boil the potatoes, so that they acquire flavor. Cook for 15 minutes. Chop the octopus. Serve the potatoes in a bowl as a base for the octopus. Season with salt, sweet paprika and olive oil. Serve.",
76,76,en,Escalivada,"Aubergine,50,g;
Red pepper;60,g;
White onion,40,g;
Zucchini,50,g;
Fresh garlic,3,g;
Ground black pepper,0.3,g;
Salt,2,g;
Extra virgin olive oil,10,g;","Preheat the oven to 160ºC. Wash and cut the aubergine, onion, zucchini and pepper into strips. Place in a bowl, the vegetables with oil and season to taste. Mix well. Grease a baking sheet with oil and place the vegetables. Cook in the oven over medium heat for 30 minutes. Check the vegetables frequently, preventing them from browning. Peel and chop the garlics. Once the vegetables are cooked, remove from the oven, recover the cooking juice. Serve on a tray and add the minced garlic, olive oil and ground black pepper on top.",
77,77,en,Andalusian gazpacho,"Ripe tomato,150 g;
Italian green pepper,50,g;
Cucumber,50,g;
Garlic,5,g;
Extra virgin olive oil,15,g;
Hard bread,15,g;
Water,60,g;","Wash the tomatoes, cucumber and pepper well. Quarter the tomatoes and chop the cucumber, pepper and garlic and add it all in a bowl. Soak the stale bread in another bowl with water for about 10 minutes. Add the bread to the bowl of vegetables and add extra virgin olive oil and salt. Blend with a blender until smooth. Strain with a strainer and chill in the fridge.",
78,78,en,Russian salad,"Potato,150,g;
Carrot,150,g;
Peas,30,g;
Egg,55,g;
Olives,15,g;
Tuna, natural, 55,g;
Light mayonnaise,30,g;",Wash and peel the potato and carrot and then cut them into squares. Boil for about 35 minutes over medium heat. Boil an egg with water and salt for 10 minutes. Peel and cut the hard-boiled egg into small pieces and leave to cool. Cut the olives and put everything in a bowl. Wash the peas and drain them. Add them in the bowl. Drain the natural tuna and add it too. Mix all the ingredients and add the homemade mayonnaise. Let cool in the fridge.,
79,79,en,Baked chicken croquettes,"Chicken breast, 70,g;
Cornmeal, 40,g;
Milk, 100,g;
Onion, 30,g;
Nutmeg, 1,g;
Breadcrumbs, 30,g;
Egg, 20,g","The day before: chop the onion and fry it in a frying pan with very little extra virgin olive oil. Add the shredded and boneless chicken. Add the cornmeal and lightly toast it. Cover with milk and add the nutmeg and salt to taste .Mix well to avoid lumps until it thickens.When it has thickened, reserve in a glass container and let it warm.Cover with film and let it rest in the fridge overnight.
The same day: Preheat the oven to 160ºC. Shape the croquettes with the help of a few spoons: pass through the egg and breadcrumbs. Place on a baking tray with previously placed baking paper. Drizzle with little olive oil. Bake for 15 minutes.",
80,80,en,Seafood paella,"Rice,80,g;
Pepper,30,g;
Onion,30g;
Tomato,30g;
Chicken,100g;
Seafood broth,200ml;
Prawns,50,g;
Saffron,0.5,g;
Extra virgin olive oil,10,g;","Wash, dice the onion, pepper and tomato. In a skillet over high heat add the olive oil and mark the chicken breasts. Then add the vegetables and prepare the sauce. When the vegetables and chicken are cooked add the rice, the prawns and the saffron and cover with the seafood broth. Cook over medium heat for 20 minutes.",
81,81,en,Beef stew with potatoes,"Veal,140,g;
Carrot,50,g;
Peas,60,g;
Potato,100,g;
Meat broth, 100 ml;
Extra virgin olive oil; 10.g;","Wash, cut the carrot. In a pot with hot oil, mark the veal, reserve. Next, in the same pot add the carrot and the peas and sauté it together with the veal. Finally add the peeled and chopped potato and the meat broth. Let cook for 1 hour on medium heat",
82,82,en,Beef cannelloni,"Minced pork and veal,80,g;
onion,50,g
green pepper,30,g
tomato sauce,15,g;
3 plates of pasta for cannelloni,75,g;
Béchamel sauce,35,g; 
Emmental cheese,15,g
olive oil,10,g;","For the cannelloni filling: First, cook the onion and green pepper over low heat. Once poached, add the minced meat, season with salt and pepper and add the tomato sauce. Next we cook the pasta for the cannelloni. Once cooked, fill with the meat, add the béchamel, the cheese and bake it at 180ºC for 15 minutes.",
83,83,en,Chickpea salad with tomatoes and tuna belly,"Chickpeas,55,g;
Cherry tomatoes,100,g;
Purple onion,20,g;
Natural tuna belly,55,g;
Black olives,15,g;
Extra virgin olive oil,10,g;","Drain and wash the canned chickpeas. Drain the water from the can of tuna belly and reserve. Wash and cut the cherry tomatoes in half and the onion. Mix the chickpeas with the vegetables, the tuna belly and the black olives, season with salt and pepper and stir well. Reserve and dress.",
84,84,en,Red lentil salad,"Red lentils,60,g;
Italian green pepper,55,g;
red onion, 20,g;
Carrot,40,g; Carrot,40,g
Quinoa,20,g;
extra virgin olive oil, 10,g","Wash, peel and cut the onion and put in a bowl. Wash and drain the lentils, arrange in a salad bowl. Cut the bell pepper and carrot into thin strips and cubes. Boil the quinoa in water. Rinse the onion under cold water and pat dry with kitchen paper. Pour everything into the salad bowl and mix.
Season with extra virgin olive oil.",
85,85,en,Chickpea and cod salad (Empedrat),"Chickpeas,60,g;
crumbled cod,125,g;
ripe tomato,70,g;
onion, 50,g
red pepper, 65,g
black olives,10,g;
Egg,55,g;
extra virgin olive oil,10,g;","Soak the cod to remove as much salt as possible. Clean and drain the chickpeas, reserve. Clean and cut the tomato and pepper into small cubes and the onion into slices. Boil the eggs until they are to the point that we like. Drain the cod. Mix all the ingredients well (chickpeas, cod, olives and vegetables). Season with a little extra virgin olive oil and salt. Chop the hard-boiled egg and add it to the plate.",
